ID;SchoolCode;SchoolName
26390;E01717;CORTIVA INSTITUTE - CHICAGO
26391;E01719;CONTINENTAL SCHOOL OF BEAUTY CULTURE - B
26392;E01725;HERITAGE COLLEGE - LITTLE ROCK
26393;E01726;VIRGINIA COLLEGE - AUGUSTA
26394;E01729;ATI CAREER TRAINING CENTER - WACO
26395;E01739;MAKE-UP DESIGNORY -
26396;E01740;ALLEN SCHOOL - BROOKLYN
26397;E01743;AMERICAN INTERCONTINENTAL UNIVERSITY
26398;E01747;JOHN DEWEY COLLEGE - HATILLO CAMPUS
26399;E01748;JOHN DEWEY COLLEGE - MANATI
26400;E01749;MEDTECH COLLEGE - LEXINGTON
26401;E01751;VIRGINIA COLLEGE - CHARLESTON
26402;E01753;STAR CAREER ACADEMY - STAR CLIFTON
26403;E01766;CAREER ACADEMY OF HAIR DESIGN - SILOAM
26404;E01767;DORSEY BUSINESS SCHOOL - WATERFORD/PONTI
26405;E01782;ART INSTITUTE OF PHOENIX (THE) - BROWN M
26406;E01784;MCCANN SCHOOL OF BUSINESS & TECHNOLOGY -
26407;E01785;MILLER-MOTTE TECHNICAL COLLEGE - FAYETTE
26408;E01789;UNITECH TRAINING ACADEMY - WEST MONROE
26409;E01790;UNITECH TRAINING ACADEMY - HOUMA
